risk_class,products,avg_baseline_fill_rate,avg_optimized_fill_rate,avg_baseline_inventory_days,avg_optimized_inventory_days,avg_inventory_days_change,total_baseline_lost_sales,total_optimized_lost_sales,total_lost_sales_reduction,total_baseline_cost,total_optimized_cost,total_cost_savings,avg_safety_stock_change
Critical,26,0.9862,0.9996,25.4,31.04,5.64,25511,757.0,24754.0,404474.2,185873.27,218600.97,465.65
High,76,0.9855,0.9969,25.23,27.85,2.62,66621,12782.0,53839.0,1028995.21,522724.41,506270.79,175.71
Low,1746,0.9935,0.9948,17.88,21.3,3.41,781832,701445.0,80387.0,15901223.55,15868017.75,33206.18,-70.61
Medium,152,0.9888,0.9953,18.76,23.97,5.21,60315,25598.0,34717.0,1052390.76,744535.89,307854.89,0.0
