scenario,products,total_scenario_cost,total_cost_change,total_cost_savings,total_lost_sales,total_lost_sales_increase,avg_fill_rate,avg_fill_rate_change,avg_inventory_days,avg_inventory_days_change,scenario_status,scenario_priority
Combined Stress,2000,19910302.5849,2589151.2649,-2589151.2649,1026460.0,285878.0,0.96398825,-0.031,26.205600450000002,4.32962005,High exposure,P1 - Severe
Demand Surge,2000,18172774.5964,851623.2778,-851623.2778,933143.0,192561.0,0.98498825,-0.01,20.0529816,-1.8229984,High exposure,P1 - Severe
Optimized Policy,2000,17321151.32,0.0,0.0,740582.0,0.0,0.99498825,0.0,21.87598,0.0,Service resilient but more expensive,P4 - Resilient
Supplier Disruption,2000,19237303.6823,1916152.3608,-1916152.3608,818360.0,77778.0,0.97398825,-0.021,28.930975,7.0549924,High exposure,P2 - High
