scenario,products,critical_exposures,high_exposures,moderate_exposures,total_lost_sales_exposure,total_incremental_cost,avg_fill_rate_change,avg_exposure_score,avg_final_decision_score,total_additional_safety_stock,hidden_vulnerabilities
Combined Stress,2000,3,157,1840,285878.0,2589151.37,-0.031,0.3467,0.2847,73725.0,143
Supplier Disruption,2000,0,0,2000,77778.0,1916152.44,-0.021,0.2394,0.2104,59787.0,0
Demand Surge,2000,0,0,282,192561.0,851623.38,-0.01,0.1546,0.16,26521.0,0
Optimized Policy,2000,0,0,1,0.0,0.0,0.0,0.0475,0.0612,127.0,0
