scenario,products,critical_exposures,high_exposures,moderate_exposures,low_exposures,total_lost_sales_exposure,total_contingency_safety_stock,avg_contingency_safety_stock,total_contingency_cost,avg_fill_rate_change,avg_contingency_impact,policy_changes
Combined Stress,2000,3,176,1821,0,285878.0,263687,131.8435,728641.4271732445,-0.031,0.2992256,179
Demand Surge,2000,0,1,414,1585,192561.0,185990,92.995,509969.9904804161,-0.01,0.11690945000000001,1
Supplier Disruption,2000,0,1,1999,0,77778.0,174504,87.252,472913.2757260887,-0.021,0.1910598,1
Optimized Policy,2000,0,0,153,1847,0.0,107007,53.5035,289213.5767718831,0.0,0.0061212,0
