risk_class,primary_risk_driver,products,average_risk_score,average_confidence,financial_exposure,at_risk_value,lost_sales_exposure,optimization_opportunity,compound_risk_products
Critical,Forecast Accuracy,1,85.29,100.0,2187761.51,1582845.45,1601501.1,5340.13,1
High,Forecast Accuracy,20,52.12,100.0,41542057.9,14927397.26,19249737.34,180250.27,20
Low,Demand Anomaly,63,6.86,83.43,52020393.47,1858146.01,39074629.58,80370.27,0
Low,Demand Volatility,226,1.99,73.03,123593497.64,414395.63,88109327.36,231108.21,0
Low,Forecast Accuracy,1323,6.8,87.28,3055107365.1,67442118.77,2263196431.2,2411816.36,0
Low,Supplier,285,5.7,80.38,465033814.17,9988114.32,345844351.64,503158.46,0
Moderate,Forecast Accuracy,81,41.04,93.78,106312394.56,26703660.48,46525290.99,622339.23,81
Moderate,Supplier,1,40.24,93.0,6983546.5,1658592.29,6245386.5,13440.19,1
